"login","n_commits","inner_indegree","inner_outdegree","inner_betweenness","inner_incloseness","inner_outcloseness","outer_indegree","outer_outdegree","outer_betweenness","outer_incloseness","outer_outcloseness"
"aqnouch",1,0,0.000938967136150235,0,0.000938086303939962,0.000938967136150235,21,109,9162857.26165219,4.03340684351484e-11,6.95407096971704e-11
"aredridel",5,0.028169014084507,0.0272300469483568,0.00470379599725545,0.00201665969199074,0.00292688557388943,385,71,27814534.0067218,4.03342855116951e-11,6.95395143193787e-11
"argon",1,0.000938967136150235,0.000938967136150235,0.000504783084471743,0.00201685064510814,0.000938967136150235,102,2,6278258.09189603,4.03340885623867e-11,6.95379223321686e-11
"arhart",1,0,0,0,0.000938086303939962,0.000938086303939962,0,0,0,0,0
"arianitu",1,0.000938967136150235,0.000938967136150235,3.30518263253177e-07,0.00201189758780091,0.00291632209339898,9,10,1401865.76063101,4.03339681571603e-11,6.95393660461107e-11
"arlolra",4,0.00469483568075117,0.00563380281690141,0.000657953125524504,0.00201469878834312,0.00291769630753889,107,46,8790179.07904536,4.03342267140023e-11,6.95379030964648e-11
"arturadib",4,0.0131455399061033,0,0,0.00202003342064683,0.000938086303939962,310,0,0,4.03677671615209e-11,2.17319571730358e-11
"arve0",1,0.000938967136150235,0.00187793427230047,0,0.00201188998645516,0.00292580809995549,14,25,2752570.08655182,4.03339655802633e-11,6.95394825195403e-11
"ashleygwilliams",1,0.0234741784037559,0.00187793427230047,0.000195067795255758,0.00201945886087351,0.00093984962406015,1369,13,75160447.4989322,4.0334266383148e-11,6.95393892092336e-11
"ateich",1,0.000938967136150235,0.00657276995305164,9.8854108785477e-05,0.000939848794654952,0.00294955839710196,56,130,9640130.53241941,4.03340565917779e-11,6.95394246164422e-11
"atstojanov",1,0,0,0,0.000938086303939962,0.000938086303939962,0,0,0,0,0
"aubergine10",2,0,0,0,0.000938086303939962,0.000938086303939962,5,24,2423277.82212318,4.03339175042765e-11,6.95393868590706e-11
"austo",1,0,0.000938967136150235,0,0.000938086303939962,0.00292253231250515,3,4,12,2.17322611037404e-11,2.17323624158644e-11
"aviflax",1,0.00187793427230047,0.00375586854460094,1.42075603092192e-05,0.00201526682889722,0.00292272480281899,47,105,8914755.01411324,4.03340683050014e-11,6.95394121886143e-11
"avz",3,0.00187793427230047,0.00187793427230047,0,0.00201362077375978,0.00292571164845308,18,21,3362223.51123118,4.03339949770808e-11,6.95394830804861e-11
"axiak",1,0.00187793427230047,0,0,0.00201921381483525,0.000938086303939962,59,2,197934.33299846,4.0341403547149e-11,2.17322611032681e-11
"axvm",1,0.000938967136150235,0,0,0.00201593439979102,0.000938086303939962,5,0,0,2.17324637289331e-11,2.17319571730358e-11
"azer",2,0.0178403755868545,0.0328638497652582,0.00241761994705716,0.00201640768923466,0.00292918791359308,1647,234,151856203.465958,4.0334291003957e-11,6.95395308286128e-11
"bagder",1,0.00751173708920188,0,0,0.00201894203645849,0.000938086303939962,689,14,1321308.98018957,4.04430872652081e-11,2.17333755890603e-11
"bahamas10",1,0.00563380281690141,0.00469483568075117,0.00126885927446491,0.00201564061411743,0.00291633806519453,95,36,9275483.06851242,4.03342093880589e-11,6.95394822584104e-11
"bajtos",12,0.0131455399061033,0.00657276995305164,0.00105084334721029,0.00201540030770337,0.00291684925503944,208,15,12573911.0771717,4.03342521839796e-11,6.9539398068286e-11
"baloo",1,0,0,0,0.000938086303939962,0.000938086303939962,59,11,6732827.87134525,4.03340352281773e-11,6.95393435503326e-11
